acc_mag_mean,acc_mag_std,acc_mag_max,gyro_mag_mean,gyro_mag_std,gyro_mag_max,jerk_std,jerk_max_abs,harsh_event_rate,label
0.08570729345081425,0.059867300483163646,0.4017744723392715,0.0525188348920235,0.022272503322796497,0.1361889243436694,0.048276999088131364,0.35106395860567396,0.04,Calm
0.09328798056801596,0.07472841592181917,0.7617975007758124,0.049508310528814305,0.022001015284514477,0.17052298981450464,0.06300576565419745,0.7276371494819499,0.03666666666666667,Calm
0.0806543471546016,0.05762916507374128,0.5339803771954104,0.049642439682354066,0.024818906811030515,0.18628937130203455,0.05021761712293339,0.4295253357867207,0.03,Calm
0.08544585163655827,0.05949486560399256,0.5560200793932142,0.04822526030527011,0.024815064417333946,0.16451336564864594,0.0522350606182472,0.4930626113966193,0.03333333333333333,Calm
0.09146817170741199,0.06788061017224639,0.497864434400298,0.05083671093625624,0.027022218427532076,0.265586991041447,0.05644042616808592,0.44678496491841446,0.03666666666666667,Calm
0.08325802077219535,0.05845484457903188,0.6312057849713196,0.049863911634885016,0.025373476163834067,0.2191496537051587,0.05409734719941011,0.5730307427291262,0.02666666666666667,Calm
0.07544897983305197,0.04189434912675266,0.2547013905129712,0.04764111326484839,0.021311045088123582,0.11794082897511292,0.04021796977484161,0.1367736243692394,0.043333333333333335,Calm
0.07883464941912789,0.05448239286369044,0.4851846206767882,0.05086987725579585,0.02099829774085247,0.13361644438482131,0.04592870427193012,0.4328441889038209,0.03,Calm
0.07921747363055613,0.0485860897167336,0.47129570791183223,0.051321799655892356,0.020837301900916,0.14204975662850655,0.04271469087666886,0.39922515488639426,0.03,Calm
0.07724736168710576,0.0419249639454416,0.2753347159271643,0.05292409387698709,0.023720397469822792,0.1787876332504832,0.03708813812599049,0.17991190980717192,0.04,Calm
0.08184192168136076,0.05213721149723784,0.4378984987066024,0.046904220121482466,0.021551374769973864,0.15206559634661682,0.047534667311757685,0.2884310818176126,0.02666666666666667,Calm
0.08343808592800993,0.04956964856234,0.4802048245665804,0.04895889860708969,0.021627490107434328,0.17001789711387502,0.04496920262017039,0.4091909633708728,0.016666666666666666,Calm
0.09056293979116037,0.0627748982422837,0.49372159301523544,0.05818613982810836,0.036442416762110616,0.2828899881830228,0.0526553441655327,0.38882262440315396,0.04,Calm
0.08108906189022867,0.05376137236071148,0.4322207260596502,0.05013494596173346,0.024036699988996685,0.18662825242511694,0.04851151437567646,0.3601720912102839,0.02666666666666667,Calm
